student_id,query_index,query_type
12225,1,dependent
12225,2,dependent
12225,3,guided
12196,1,guided
12200,1,dependent
12201,1,guided
12201,2,dependent
12201,3,dependent
12202,1,dependent
12203,1,guided
12203,2,guided
12203,3,dependent
12203,4,guided
12205,1,dependent
12206,1,guided
12211,1,dependent
12212,1,dependent
12213,1,guided
12215,1,dependent
12215,2,dependent
12215,3,dependent
12219,1,dependent
12220,1,guided
12220,2,dependent
12221,1,dependent
12221,2,dependent
12228,1,dependent
12228,2,dependent
12228,3,dependent
12229,1,guided
12229,2,dependent
12229,3,dependent
12229,4,dependent
12230,1,guided
12233,1,dependent
12233,2,dependent
12233,3,dependent
12235,1,dependent
12235,2,dependent
12240,1,dependent
12240,2,dependent
12240,3,dependent
12243,1,guided
12243,2,guided
12243,3,dependent
12245,1,guided
12245,2,guided
