student_id,query_index,query_type
12403,1,dependent
12408,1,guided
12416,1,dependent
12416,2,dependent
12416,3,dependent
12416,4,dependent
12416,5,dependent
12416,6,guided
12416,7,dependent
12421,1,dependent
12421,2,dependent
12421,3,dependent
12422,1,dependent
12422,2,dependent
12422,3,guided
12423,1,dependent
12423,2,dependent
12424,1,dependent
12424,2,guided
12424,3,dependent
12426,1,dependent
12430,1,dependent
12430,2,dependent
12430,3,dependent
12430,4,guided
12430,5,dependent
12430,6,dependent
12430,7,dependent
12430,8,dependent
12430,9,dependent
12430,10,dependent
12430,11,dependent
12430,12,dependent
12430,13,dependent
12430,14,dependent
12430,15,dependent
12430,16,dependent
12430,17,dependent
12431,1,dependent
12431,2,dependent
12431,3,guided
12431,4,dependent
12431,5,dependent
12431,6,dependent
12431,7,dependent
12432,1,dependent
12432,2,dependent
12432,3,guided
12432,4,guided
12435,1,guided
12435,2,dependent
12435,3,dependent
12435,4,dependent
12437,1,dependent
12437,2,dependent
12437,3,dependent
12437,4,dependent
12437,5,dependent
12437,6,dependent
12437,7,dependent
12439,1,guided
12440,1,guided
12440,2,dependent
12440,3,guided
12440,4,dependent
12444,1,dependent
12444,2,dependent
12444,3,guided
12444,4,dependent
12444,5,dependent
12444,6,dependent
12447,1,guided
12447,2,dependent
12447,3,dependent
12447,4,guided
12464,1,dependent
12464,2,dependent
12402,1,dependent
12402,2,dependent
12406,1,dependent
12406,2,guided
12406,3,dependent
12406,4,dependent
12407,1,guided
12407,2,guided
12427,1,dependent
12427,2,dependent
12433,1,guided
12449,1,dependent
12449,2,dependent
12451,1,dependent
12451,2,dependent
12451,3,dependent
12451,4,guided
12451,5,guided
12451,6,guided
12451,7,dependent
12451,8,dependent
12452,1,dependent
12454,1,dependent
12376,1,dependent
12376,2,dependent
12376,3,dependent
12376,4,dependent
12376,5,dependent
12376,6,dependent
12376,7,dependent
12376,8,dependent
12380,1,guided
12381,1,dependent
12381,2,dependent
12381,3,dependent
12381,4,dependent
12381,5,guided
12381,6,dependent
12381,7,dependent
12382,1,dependent
12382,2,dependent
12384,1,guided
12384,2,dependent
12385,1,dependent
12385,2,dependent
12385,3,guided
12385,4,guided
12385,5,dependent
12385,6,dependent
12385,7,dependent
12386,1,dependent
12386,2,dependent
12386,3,guided
12386,4,guided
12386,5,guided
12386,6,dependent
12386,7,guided
12386,8,dependent
12386,9,dependent
12386,10,dependent
12386,11,dependent
12386,12,dependent
12386,13,guided
12387,1,dependent
12389,1,guided
12389,2,dependent
12389,3,guided
12389,4,dependent
12390,1,dependent
12390,2,guided
12390,3,dependent
12390,4,guided
12390,5,guided
12390,6,guided
12391,1,dependent
12393,1,dependent
12393,2,dependent
12393,3,dependent
12393,4,dependent
12393,5,dependent
12393,6,guided
12393,7,dependent
12393,8,dependent
12394,1,dependent
12394,2,dependent
12395,1,dependent
12395,2,guided
12395,3,dependent
12395,4,dependent
12398,1,dependent
12398,2,guided
12398,3,dependent
12412,1,dependent
12412,2,dependent
12412,3,dependent
12412,4,dependent
12412,5,dependent
12412,6,dependent
12412,7,dependent
12412,8,dependent
12412,9,guided
12412,10,dependent
12414,1,dependent
12415,1,dependent
12415,2,dependent
12415,3,dependent
12415,4,dependent
12415,5,dependent
12415,6,dependent
12415,7,dependent
12419,1,dependent
12399,1,dependent
12399,2,dependent
12401,1,dependent
12401,2,guided
12401,3,guided
12401,4,dependent
12401,5,dependent
12401,6,guided
12401,7,guided
12460,1,guided
12460,2,dependent
12460,3,dependent
12460,4,dependent
12460,5,dependent
