student_id,query_index,query_type
12339,1,guided
12348,1,dependent
12348,2,dependent
12348,3,guided
12348,4,guided
12348,5,dependent
12348,6,guided
12348,7,dependent
12348,8,dependent
12348,9,dependent
12348,10,guided
12348,11,dependent
12348,12,dependent
12348,13,dependent
12348,14,dependent
12348,15,dependent
12348,16,dependent
12348,17,dependent
12348,18,dependent
12348,19,dependent
12348,20,dependent
12347,1,dependent
12347,2,dependent
12347,3,dependent
12347,4,dependent
12347,5,dependent
12347,6,dependent
12347,7,dependent
12347,8,dependent
12347,9,dependent
12347,10,dependent
12347,11,guided
12366,1,dependent
12366,2,dependent
12366,3,dependent
12366,4,guided
12337,1,dependent
12337,2,guided
12337,3,guided
12337,4,guided
12337,5,guided
12337,6,dependent
12337,7,dependent
12337,8,guided
12337,9,guided
12337,10,dependent
12337,11,guided
12341,1,guided
12341,2,dependent
12341,3,guided
12341,4,guided
12346,1,dependent
12346,2,dependent
12346,3,dependent
12343,1,dependent
12343,2,dependent
12362,1,guided
12362,2,guided
12362,3,dependent
12362,4,guided
12362,5,dependent
12362,6,guided
12362,7,dependent
12362,8,dependent
12362,9,dependent
12345,1,dependent
12342,1,dependent
12342,2,dependent
12342,3,dependent
12342,4,guided
12351,1,guided
12351,2,dependent
12351,3,dependent
12351,4,dependent
12351,5,dependent
12351,6,dependent
12351,7,dependent
12357,1,guided
12357,2,guided
12358,1,guided
12358,2,dependent
12358,3,dependent
12358,4,dependent
12359,1,dependent
12360,1,dependent
12360,2,dependent
12360,3,dependent
12360,4,dependent
12338,1,dependent
12338,2,dependent
12370,1,guided
12370,2,guided
12350,1,dependent
12350,2,dependent
12350,3,dependent
12350,4,dependent
12350,5,dependent
12353,1,dependent
12353,2,dependent
12355,1,dependent
12349,1,dependent
12349,2,dependent
12349,3,dependent
12349,4,dependent
12364,1,dependent
12364,2,dependent
12364,3,dependent
12365,1,guided
12365,2,guided
12365,3,dependent
12365,4,dependent
12368,1,dependent
12368,2,dependent
12368,3,dependent
12368,4,dependent
12368,5,dependent
12368,6,dependent
12368,7,dependent
12368,8,dependent
12368,9,dependent
