student_id,query_index,total_queries,is_first_query,time_since_session_start_s,time_since_last_query_s,pre_duration_s,pre_code_edits,pre_code_edit_rate,pre_chars_inserted,pre_chars_deleted,pre_code_deletes,pre_net_code_growth,pre_delete_type_ratio,pre_terminal_runs,pre_terminal_errors,pre_max_consecutive_errors,pre_mean_time_between_runs_s,pre_error_self_fix,pre_error_ai_fix,pre_error_reading_time_s,pre_error_to_edit_s,pre_failed_test_count,pre_failed_test_self_fix,pre_failed_test_ai_fix,pre_failed_test_to_edit_s,pre_longest_idle_s,thinking_time_s,pre_tab_switches,pre_tab_hidden_time_s,pre_response_reading_time_s,pre_chat_to_code_latency_s,pre_time_in_editor_s,pre_time_in_terminal_s,pre_time_in_chat_s,pre_time_in_task_s,pre_time_in_tests_s,implementing_time_s,debugging_time_s,testing_time_s,seeking_help_time_s,thinking_task_s,thinking_llm_s,thinking_error_s,thinking_code_s,query_length_chars,ai_response_length_chars,test_passed_at_query,test_total_at_query,post_response_implementing_s,post_response_debugging_s,post_response_thinking_s,post_response_seeking_help_s,post_response_testing_s,post_thinking_task_s,post_thinking_llm_s,post_thinking_error_s,post_thinking_code_s,post_code_edits,post_code_edit_rate,post_terminal_runs,post_terminal_errors,post_error_self_fix,task_completed,final_test_passed,final_test_total,session_duration_s,label_query_no_effort
12337,1,11,1,168.67,0.0,168.67,41,0.2431,34,7,7,27,0.1707,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,25.3,131.18,0,0.0,0.0,0.0,16.25,0.0,2.84,65.59,0.0,16.25,0.0,0.0,2.84,65.59,0.0,0.0,83.98,15,334,0,0,128.24,0.0,137.94,18.34,0.0,0,34.61,0.0,103.32,182,0.6397,0,0,0,0,0,0,1631.55,0.0
12337,2,11,0,454.88,286.21,284.51,182,0.6397,119,50,50,73,0.2747,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,29.54,144.92,0,0.0,38.54,38.54,128.24,0.0,18.34,0.0,0.0,128.24,0.0,0.0,18.34,0.0,34.61,0.0,103.32,36,444,0,0,12.4,0.0,41.91,8.61,0.0,0,25.63,0.0,16.28,28,0.445,0,0,0,0,0,0,1631.55,0.0
12337,3,11,0,520.83,65.95,62.92,28,0.445,20,8,8,12,0.2857,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,17.96,37.36,0,0.0,25.63,25.63,12.4,0.0,8.61,0.0,0.0,12.4,0.0,0.0,8.61,0.0,25.63,0.0,16.28,31,479,0,0,30.82,0.0,121.11,6.18,0.0,0,3.99,0.0,117.12,33,0.2087,0,0,0,0,0,0,1631.55,0.0
12337,4,11,0,680.56,159.73,158.11,33,0.2087,15,18,18,-3,0.5455,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,54.37,116.47,0,0.0,3.99,3.99,30.82,0.0,6.18,0.0,0.0,30.82,0.0,0.0,6.18,0.0,3.99,0.0,117.12,34,696,0,0,20.62,0.0,38.14,3.59,0.0,0,3.41,0.0,34.73,28,0.4491,0,0,0,0,0,0,1631.55,0.0
12337,5,11,0,745.94,65.39,62.35,28,0.4491,27,1,1,26,0.0357,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,11.39,42.34,0,0.0,3.41,3.41,20.62,0.0,3.59,0.0,0.0,20.62,0.0,0.0,3.59,0.0,3.41,0.0,34.73,24,720,0,0,27.48,0.0,53.09,2.73,0.0,0,53.09,0.0,0.0,10,0.12,0,0,0,0,0,0,1631.55,0.0
12337,6,11,0,831.82,85.87,83.3,10,0.12,4,6,6,-2,0.6,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,50.97,69.47,0,0.0,53.09,53.09,27.48,0.0,2.73,0.0,0.0,27.48,0.0,0.0,2.73,0.0,53.09,0.0,0.0,11,693,0,0,18.21,33.42,118.26,1.52,0.0,0,12.17,51.73,54.37,77,0.4492,2,2,1,0,0,0,1631.55,0.0
12337,7,11,0,1005.64,173.82,171.41,77,0.4492,55,22,22,33,0.2857,2,2,1,95.93,1,0,33.64,33.64,0,0,0,0,24.48,110.72,0,0.0,12.17,12.17,18.21,33.42,1.52,0.0,0.0,18.21,33.42,0.0,1.52,0.0,12.17,51.73,54.37,13,1131,0,0,0.0,62.24,85.38,6.49,0.0,0,24.85,60.53,0.0,58,0.3763,2,2,2,0,0,0,1631.55,0.0
12337,8,11,0,1163.96,158.32,154.12,58,0.3763,26,31,31,-5,0.5345,2,2,1,45.72,2,0,18.98,18.98,0,0,0,0,31.39,114.61,0,0.0,24.85,24.85,0.0,62.24,6.49,0.0,0.0,0.0,62.24,0.0,6.49,0.0,24.85,60.53,0.0,21,558,0,0,0.0,55.47,47.52,13.04,0.0,0,9.43,38.09,0.0,24,0.2068,1,1,0,0,0,0,1631.55,0.0
12337,9,11,0,1281.94,117.98,116.04,24,0.2068,15,9,9,6,0.375,1,1,1,0.0,0,0,0.0,0.0,0,0,0,0,23.48,81.74,0,0.0,9.43,9.43,0.0,55.47,13.04,0.0,0.0,0.0,55.47,0.0,13.04,0.0,9.43,38.09,0.0,40,595,0,0,0.0,22.68,84.47,3.58,0.0,0,5.98,78.49,0.0,29,0.2619,3,3,2,0,0,0,1631.55,0.0
12337,10,11,0,1395.42,113.49,110.74,29,0.2619,13,16,16,-3,0.5517,3,3,1,24.48,2,0,19.53,19.53,0,0,0,0,30.2,78.48,0,0.0,5.98,5.98,0.0,22.68,3.58,0.0,0.0,0.0,22.68,0.0,3.58,0.0,5.98,78.49,0.0,17,845,0,0,0.0,5.65,97.03,5.2,0.0,0,66.7,30.34,0.0,7,0.0649,1,1,1,0,0,0,1631.55,0.0
12337,11,11,0,1506.02,110.6,107.88,7,0.0649,4,2,2,2,0.2857,1,1,1,0.0,1,0,26.6,26.6,0,0,0,0,41.1,79.98,0,0.0,66.7,66.7,0.0,5.65,5.2,0.0,0.0,0.0,5.65,0.0,5.2,0.0,66.7,30.34,0.0,28,726,0,0,0.0,6.16,115.22,0.0,0.0,0,39.43,75.79,0.0,15,0.1236,1,1,1,0,0,0,1631.55,
12338,1,2,1,256.04,0.0,256.04,84,0.3281,65,4,4,64,0.0476,2,2,1,22.85,2,0,14.4,14.4,0,0,0,0,20.11,172.53,4,22.27,0.0,0.0,49.2,7.6,4.06,32.39,0.0,49.2,7.6,0.0,4.06,32.39,0.0,39.58,123.2,421,240,0,0,0.0,0.0,14.01,0.46,0.0,0,14.01,0.0,0.0,0,0.0,0,0,0,1,4,4,2058.76,1.0
12338,2,2,0,272.16,16.13,14.47,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,10.47,10.47,0,0.0,14.47,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.46,0.0,14.01,0.0,0.0,652,263,0,0,0.0,30.38,1202.39,0.0,552.16,0,9.91,290.84,901.65,55,0.0308,11,7,7,1,4,4,2058.76,
12339,1,1,1,496.49,0.0,496.49,308,0.6203,243,54,54,193,0.1753,6,6,1,34.12,5,0,17.23,17.23,0,0,0,0,23.51,253.75,9,16.42,0.0,0.0,162.0,39.28,8.95,49.95,0.0,162.0,39.28,0.0,8.95,49.95,0.0,124.73,111.59,29,494,0,0,1.79,12.83,1267.28,0.0,237.37,0,15.08,190.55,1061.64,23,0.0151,4,1,1,1,4,4,2017.76,
12341,1,4,1,261.97,0.0,261.97,172,0.6566,128,36,36,93,0.2093,1,1,1,0.0,1,0,13.74,13.74,0,0,0,0,18.86,153.54,0,0.0,0.0,0.0,93.36,8.1,12.89,46.14,0.0,93.36,8.1,0.0,12.89,46.14,0.0,0.0,101.48,42,270,0,0,0.0,31.39,54.34,11.68,0.0,0,15.96,38.38,0.0,55,0.5646,0,0,0,0,0,4,1631.07,0.0
12341,2,4,0,360.75,98.78,97.41,55,0.5646,43,9,9,35,0.1636,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,13.8,62.0,0,0.0,15.96,15.96,0.0,31.39,11.68,0.0,0.0,0.0,31.39,0.0,11.68,0.0,15.96,38.38,0.0,44,244,0,0,0.0,59.55,172.12,7.83,0.0,0,34.81,137.32,0.0,61,0.2547,3,3,3,0,0,4,1631.07,0.0
12341,3,4,0,601.23,240.49,239.51,61,0.2547,51,9,9,42,0.1475,3,3,1,43.46,3,0,11.82,11.82,0,0,0,0,39.73,189.6,0,0.0,34.81,34.81,0.0,59.55,7.83,0.0,0.0,0.0,59.55,0.0,7.83,0.0,34.81,137.32,0.0,31,326,0,0,0.0,44.06,128.13,24.5,0.0,0,20.08,108.04,0.0,16,0.0813,2,2,2,0,0,4,1631.07,0.0
12341,4,4,0,800.74,199.51,196.69,16,0.0813,10,4,4,6,0.25,2,2,1,50.95,2,0,46.79,46.79,0,0,0,0,43.96,163.11,0,0.0,6.72,6.72,0.0,44.06,24.5,0.0,0.0,0.0,44.06,0.0,24.5,0.0,20.08,108.04,0.0,62,745,0,0,0.0,406.83,421.26,0.0,0.0,0,24.86,396.4,0.0,452,0.5458,15,11,11,0,0,4,1631.07,
12342,1,4,1,145.18,0.0,145.18,29,0.1997,25,3,3,22,0.1034,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,20.17,88.46,0,0.0,0.0,0.0,28.4,0.0,3.12,36.12,0.0,28.4,0.0,0.0,3.12,36.12,0.0,0.0,77.54,16,259,0,0,69.44,17.6,229.87,10.98,0.0,0,63.12,94.86,71.88,74,0.2257,5,5,4,1,4,4,2021.17,0.0
12342,2,4,0,474.67,329.49,327.89,74,0.2257,55,14,14,43,0.1892,5,5,1,28.74,4,0,23.46,23.46,0,0,0,0,23.31,191.21,28,73.55,63.12,63.12,69.44,17.6,10.98,0.0,0.0,69.44,17.6,0.0,10.98,0.0,63.12,94.86,71.88,36,420,0,0,0.0,12.92,68.28,5.13,0.0,0,22.44,45.84,0.0,23,0.2664,1,1,0,1,4,4,2021.17,0.0
12342,3,4,0,563.14,88.46,86.32,23,0.2664,17,5,5,12,0.2174,1,1,1,0.0,0,0,0.0,0.0,0,0,0,0,21.07,63.15,0,0.0,22.44,22.44,0.0,12.92,5.13,0.0,0.0,0.0,12.92,0.0,5.13,0.0,22.44,45.84,0.0,25,401,0,0,0.0,0.0,13.07,14.9,0.0,0,13.07,0.0,0.0,0,0.0,0,0,0,1,4,4,2021.17,1.0
12342,4,4,0,593.01,29.87,27.96,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,10.4,10.4,0,0.0,27.96,0.0,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,14.9,0.0,13.07,0.0,0.0,32,396,0,0,0.0,110.16,1224.41,0.0,91.79,0,27.02,154.27,1043.12,100,0.0701,4,2,2,1,4,4,2021.17,
12343,1,2,1,702.04,0.0,702.04,34,0.0484,6,17,17,-7,0.5,7,7,1,35.78,6,0,4.99,6.92,0,0,0,0,206.0,601.6,22,132.04,0.0,0.0,2.02,51.36,0.88,209.24,8.32,2.02,43.04,8.32,0.88,209.24,0.0,411.82,26.72,496,99,0,0,0.0,34.34,523.25,0.29,0.0,0,16.12,507.13,0.0,49,0.0878,3,2,2,1,4,4,2057.18,0.0
12343,2,2,0,1261.38,559.34,557.87,49,0.0878,41,6,6,35,0.1224,3,2,1,16.03,2,0,13.82,13.82,0,0,0,0,300.2,518.46,2,0.63,16.12,16.12,0.0,34.34,0.29,0.0,0.0,0.0,34.34,0.0,0.29,0.0,16.12,507.13,0.0,2,193,4,4,0.0,0.0,794.55,0.0,0.0,0,794.55,0.0,0.0,0,0.0,1,0,0,1,4,4,2057.18,
12345,1,1,1,459.67,0.0,459.67,153,0.3328,136,7,7,134,0.0458,5,5,1,45.01,3,0,19.04,26.04,0,0,0,0,37.24,351.25,6,7.98,0.0,0.0,95.82,87.09,5.05,100.86,21.96,95.82,65.13,21.96,5.05,100.86,0.0,79.57,91.28,18,195,0,0,2.15,28.89,1276.78,0.0,249.28,0,155.4,270.24,851.14,33,0.0212,8,3,3,1,4,4,2017.88,
12346,1,3,1,921.72,0.0,921.72,326,0.3537,272,46,46,229,0.1411,5,5,1,106.64,4,0,9.28,9.28,0,0,0,0,184.29,695.08,0,0.0,0.0,0.0,122.11,239.85,5.48,55.2,3.9,122.11,235.95,3.9,5.48,55.2,0.0,200.42,298.65,17,320,0,0,0.0,0.0,14.17,16.82,0.0,0,14.17,0.0,0.0,0,0.0,0,0,0,0,0,0,2017.79,1.0
12346,2,3,0,954.49,32.77,31.0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,13.57,19.96,0,0.0,31.0,0.0,0.0,0.0,16.82,0.0,0.0,0.0,0.0,0.0,16.82,0.0,14.17,0.0,0.0,19,424,0,0,0.0,8.45,37.29,3.83,0.0,0,18.63,18.66,0.0,11,0.2219,1,1,1,0,0,0,2017.79,0.0
