student_id,query_index,total_queries,is_first_query,time_since_session_start_s,time_since_last_query_s,pre_duration_s,pre_code_edits,pre_code_edit_rate,pre_chars_inserted,pre_chars_deleted,pre_code_deletes,pre_net_code_growth,pre_delete_type_ratio,pre_terminal_runs,pre_terminal_errors,pre_max_consecutive_errors,pre_mean_time_between_runs_s,pre_error_self_fix,pre_error_ai_fix,pre_error_reading_time_s,pre_error_to_edit_s,pre_failed_test_count,pre_failed_test_self_fix,pre_failed_test_ai_fix,pre_failed_test_to_edit_s,pre_longest_idle_s,thinking_time_s,pre_tab_switches,pre_tab_hidden_time_s,pre_response_reading_time_s,pre_chat_to_code_latency_s,pre_time_in_editor_s,pre_time_in_terminal_s,pre_time_in_chat_s,pre_time_in_task_s,pre_time_in_tests_s,implementing_time_s,debugging_time_s,testing_time_s,seeking_help_time_s,thinking_task_s,thinking_llm_s,thinking_error_s,thinking_code_s,query_length_chars,ai_response_length_chars,test_passed_at_query,test_total_at_query,task_completed,final_test_passed,final_test_total,session_duration_s
11480,1,4,1,238.18,0.0,223.18,173,0.7752,150,23,23,127,0.1329,3,2,1,75.72,1,0,3.88,3.88,1,1,0,6.71,16.69,115.47,0,0.0,0.0,0.0,31.01,88.21,0.94,34.68,0.0,31.01,88.21,0.0,0.94,34.68,0.0,61.62,6.72,67,401,2,4,1,4,4,542.42
11480,2,4,0,304.35,66.17,49.11,10,0.2036,0,8,8,-8,0.8,1,1,1,0.0,1,0,36.27,36.27,0,0,0,0.0,18.81,38.85,4,20.04,6.94,6.94,0.0,5.31,0.0,0.0,0.0,0.0,5.31,0.0,0.0,0.0,7.51,36.28,0.0,8,424,3,4,1,4,4,542.42
11480,3,4,0,329.59,25.24,8.25,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,8.25,8.25,0,0.0,23.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,0.0,0.0,24,352,3,4,1,4,4,542.42
11480,4,4,0,386.81,57.22,39.86,14,0.3512,1,12,12,-11,0.8571,1,1,1,0.0,0,0,0.0,0.0,0,0,0,0.0,17.56,17.56,0,0.0,19.6,19.6,0.0,8.54,0.0,0.0,0.0,0.0,8.54,0.0,0.0,0.0,20.12,11.19,0.0,21,334,3,4,1,4,4,542.42
11483,1,1,1,58.92,0.0,43.92,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,8.47,22.98,0,0.0,0.0,0.0,0.0,0.0,0.0,43.92,0.0,0.0,0.0,0.0,0.0,43.92,0.0,0.0,0.0,289,169,0,0,1,4,4,406.78
11484,1,2,1,291.0,0.0,276.0,77,0.279,69,7,7,62,0.0909,6,1,1,6.45,1,0,28.8,28.8,1,0,0,0.0,43.6,201.41,0,0.0,0.0,0.0,60.14,3.44,11.7,107.28,0.0,60.14,3.44,0.0,11.7,107.28,0.0,47.7,45.73,80,303,3,4,1,4,4,483.91
11484,2,2,0,318.76,27.77,9.59,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,2.91,0.0,0,0.0,24.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59,0.0,0.0,44,229,3,4,1,4,4,483.91
11485,1,4,1,263.46,0.0,248.46,102,0.4105,77,24,24,53,0.2353,4,3,1,14.76,3,0,6.4,6.4,1,1,0,2.86,55.76,177.98,0,0.0,0.0,0.0,19.55,45.41,2.18,60.7,2.87,19.55,42.54,2.87,2.18,60.7,0.0,97.53,23.08,52,288,2,4,1,4,4,2005.18
11485,2,4,0,493.58,230.12,212.7,156,0.7334,85,70,70,15,0.4487,8,3,1,3.8,3,0,4.44,4.44,1,1,0,12.8,29.56,115.12,0,0.0,35.28,35.28,0.0,139.97,8.2,0.0,4.25,0.0,135.72,4.25,8.2,0.0,35.28,29.25,0.0,77,339,3,4,1,4,4,2005.18
11485,3,4,0,648.89,155.32,138.22,133,0.9623,86,43,43,43,0.3233,18,2,1,3.38,1,0,1.99,1.99,3,3,0,4.24,4.81,38.9,0,0.0,8.57,8.57,0.0,114.26,0.9,0.0,3.51,0.0,110.75,3.51,0.9,0.0,8.57,14.48,0.0,59,304,3,4,1,4,4,2005.18
